State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,Red,FAQ,30-04-2025,8000,12500,10800
Haryana,Gurgaon,Gurgaon,Banana,Other,Large,30-04-2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,Cabbage,Other,FAQ,30-04-2025,1000,1200,1100
Haryana,Gurgaon,Gurgaon,Carrot,Other,FAQ,30-04-2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Tomato,Other,FAQ,30-04-2025,800,1000,900
Haryana,Gurgaon,Gurgaon,Water Melon,Other,Large,30-04-2025,700,900,800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Capsicum,Capsicum,FAQ,30-04-2025,3000,3400,3200
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Carrot,Carrot,FAQ,30-04-2025,1800,2000,1900
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Peas Wet,Peas Wet,FAQ,30-04-2025,5500,6000,5700
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Pineapple,Other,Medium,30-04-2025,4800,5200,5000
Himachal Pradesh,Kangra,Palampur,Bitter gourd,Other,FAQ,30-04-2025,2000,2500,2200
Himachal Pradesh,Kangra,Palampur,Capsicum,Capsicum,FAQ,30-04-2025,2800,3000,2900
Himachal Pradesh,Kangra,Palampur,Colacasia,Colacasia,FAQ,30-04-2025,5000,5500,5200
Himachal Pradesh,Kangra,Palampur,Coriander(Leaves),Coriander,FAQ,30-04-2025,4800,5000,4900
Himachal Pradesh,Kangra,Palampur,Garlic,Average,FAQ,30-04-2025,10000,11000,10500
Himachal Pradesh,Kangra,Palampur,Karbuja(Musk Melon),Karbhuja,Medium,30-04-2025,2800,3200,3000
Himachal Pradesh,Kangra,Palampur,Mango,Safeda,Medium,30-04-2025,7000,8000,7500
Himachal Pradesh,Kangra,Palampur,Pomegranate,Other,Medium,30-04-2025,9000,9500,9200
Himachal Pradesh,Kangra,Palampur,Spinach,Spinach,FAQ,30-04-2025,2000,2500,2200
Himachal Pradesh,Kangra,Palampur,Tomato,Tomato,FAQ,30-04-2025,2000,2200,2100
Kerala,Alappuzha,Harippad,Capsicum,Other,FAQ,30-04-2025,7000,7600,7000
Kerala,Alappuzha,Harippad,Carrot,Other,FAQ,30-04-2025,6000,6500,6000
Kerala,Alappuzha,Harippad,Onion,Big,FAQ,30-04-2025,2000,2500,2000
Kerala,Kottayam,Pampady,Ashgourd,Other,FAQ,30-04-2025,2000,3500,3000
Kerala,Kottayam,Pampady,Brinjal,Brinjal,FAQ,30-04-2025,2500,4500,3500
Kerala,Kottayam,Pampady,Cowpea(Veg),Other,FAQ,30-04-2025,4500,5500,5000
Kerala,Kottayam,Pampady,Cucumbar(Kheera),Other,FAQ,30-04-2025,1500,2500,2000
Kerala,Kottayam,Pampady,Drumstick,Other,FAQ,30-04-2025,2300,4000,3500
Kerala,Kottayam,Pampady,Ginger(Green),Green Ginger,FAQ,30-04-2025,7500,8500,8000
Kerala,Kottayam,Pampady,Pumpkin,Pumpkin,FAQ,30-04-2025,1800,3500,2500
Kerala,Kottayam,Pampady,Snakeguard,Other,FAQ,30-04-2025,1800,3500,2500
Kerala,Pathanamthitta,Kalanjoor  VFPCK,Banana,Nendra Bale,Large,30-04-2025,4500,7500,5200
